date,total_minutes,tracks_played,skips,completions,unique_artists,skip_rate,hours_played
2025-01-01,9.919666666666666,4,3,1,4,75.0,0.17
2025-01-05,20.662316666666666,6,5,1,4,83.33,0.34
2025-01-06,95.75466666666667,1,0,1,1,0.0,1.6
2025-01-08,19.034666666666666,1,0,1,1,0.0,0.32
2025-01-11,6.27145,2,0,2,2,0.0,0.1
2025-01-12,34.351933333333335,11,7,4,10,63.64,0.57
2025-01-14,13.3672,5,4,1,5,80.0,0.22
2025-01-17,25.7318,11,8,3,10,72.73,0.43
2025-01-19,2.52065,2,0,2,1,0.0,0.04
2025-01-21,4.156,1,0,1,1,0.0,0.07
2025-01-24,5.077116666666667,3,2,1,3,66.67,0.08
2025-01-25,19.133999999999997,2,0,2,2,0.0,0.32
2025-01-27,2.6082666666666667,2,1,1,1,50.0,0.04
2025-01-29,77.18469999999999,23,18,5,18,78.26,1.29
2025-01-30,3.4927333333333332,1,0,1,1,0.0,0.06
2025-02-01,11.37475,17,16,1,4,94.12,0.19
2025-02-02,38.70101666666667,11,10,1,8,90.91,0.65
2025-02-05,21.178116666666668,8,6,2,6,75.0,0.35
2025-02-07,16.724566666666668,66,64,2,43,96.97,0.28
2025-02-10,5.320683333333333,3,1,2,2,33.33,0.09
2025-02-13,16.873783333333336,15,13,2,8,86.67,0.28
2025-02-20,90.20666666666666,1,0,1,1,0.0,1.5
2025-02-21,1.7325,1,0,1,1,0.0,0.03
2025-02-23,2.7373333333333334,1,0,1,1,0.0,0.05
2025-02-24,9.198350000000001,2,2,0,2,100.0,0.15
2025-02-25,0.7270166666666666,1,0,1,1,0.0,0.01
2025-02-26,56.72611666666667,18,16,2,15,88.89,0.95
2025-02-27,32.548833333333334,70,63,7,44,90.0,0.54
2025-02-28,2.6533333333333333,1,0,1,1,0.0,0.04
2025-03-01,38.45483333333333,2,0,2,1,0.0,0.64
2025-03-08,47.07823333333334,13,11,2,8,84.62,0.78
2025-03-17,2.118333333333333,1,0,1,1,0.0,0.04
2025-03-18,23.655900000000003,13,10,3,7,76.92,0.39
2025-03-19,3.297633333333333,2,1,1,2,50.0,0.05
2025-03-21,29.577466666666666,10,8,2,8,80.0,0.49
2025-03-27,5.971333333333333,1,0,1,1,0.0,0.1
2025-03-30,8.464433333333332,4,2,2,4,50.0,0.14
2025-03-31,41.10028333333334,9,8,1,8,88.89,0.69
2025-04-01,31.10895,12,10,2,11,83.33,0.52
2025-04-03,15.83745,6,4,2,4,66.67,0.26
2025-04-04,2.4187833333333333,2,1,1,2,50.0,0.04
2025-04-05,39.53455,14,11,3,10,78.57,0.66
2025-04-06,47.42453333333333,9,8,1,9,88.89,0.79
2025-04-07,9.317,2,1,1,2,50.0,0.16
2025-04-08,22.434583333333332,7,6,1,7,85.71,0.37
2025-04-11,2.3966666666666665,1,0,1,1,0.0,0.04
2025-04-12,34.904833333333336,13,12,1,9,92.31,0.58
2025-04-13,35.23121666666667,10,7,3,9,70.0,0.59
