hour,total_minutes,track_count,skips,unique_artists,avg_minutes_per_session,skip_rate
0,66.7442,13,7,8,5.13,53.85
1,94.94723333333333,8,5,8,11.87,62.5
2,0.9505666666666667,1,1,1,0.95,100.0
3,30.829666666666668,3,1,3,10.28,33.33
4,113.4598,23,12,14,4.93,52.17
5,383.1485166666667,177,152,69,2.16,85.88
6,153.34268333333333,111,96,63,1.38,86.49
7,231.84368333333333,35,20,22,6.62,57.14
8,150.11058333333332,63,44,33,2.38,69.84
9,125.4713,105,84,57,1.19,80.0
10,27.645500000000002,26,17,19,1.06,65.38
11,39.308283333333335,17,10,13,2.31,58.82
12,578.3352833333333,274,228,104,2.11,83.21
13,135.55958333333334,49,26,35,2.77,53.06
14,45.97168333333333,32,17,28,1.44,53.12
15,106.83538333333334,90,71,53,1.19,78.89
16,197.4615,64,39,39,3.09,60.94
17,460.2237666666667,231,181,89,1.99,78.35
18,328.83365,101,66,49,3.26,65.35
19,326.59340000000003,90,62,52,3.63,68.89
20,459.4998333333333,43,25,20,10.69,58.14
21,111.67566666666667,18,8,12,6.2,44.44
22,234.755,2,0,1,117.38,0.0
23,103.4701,5,0,4,20.69,0.0
