track_name,artist_name,total_minutes,play_count,skips,completions,first_play,last_play,skip_rate
Surah Al-Baqara,Alshaikh Abdul Rahman Alsudais Sheikh Saud Al Shuraim,734.6551833333333,13,2,11,2025-01-06,2025-10-07,15.38
Surah Al Baqara,Sheikh Abdul Rahman Al Sudais,505.86245,9,1,8,2025-07-22,2025-11-09,11.11
Taaj - Acoustic,Lost Stories,161.438,63,44,19,2025-06-20,2025-11-15,69.84
Surah Maryam,Alshaikh Abdul Rahman Alsudais Sheikh Saud Al Shuraim,135.60985,9,3,6,2025-01-08,2025-10-31,33.33
Leja,Lost Stories,108.55766666666666,38,25,13,2025-05-02,2025-11-15,65.79
Ibadatein,Rito Riba,105.3959,40,32,8,2025-01-29,2025-10-27,80.0
Baat Unkahi,Kaavish,81.75526666666667,20,17,3,2025-01-12,2025-11-07,85.0
Daikho,Kaavish,58.89541666666666,20,13,7,2025-09-05,2025-11-11,65.0
Laal Ishq,Arijit Singh,52.1544,12,9,3,2025-02-05,2025-05-27,75.0
Fresh Out The Slammer,Taylor Swift,50.32476666666667,22,19,3,2025-09-24,2025-11-13,86.36
Dil Nai Lagda,Aman Hayer,50.14893333333333,15,11,4,2025-08-31,2025-11-04,73.33
Raabta (Siyaah Raatein),Pritam,47.10921666666667,14,12,2,2025-07-28,2025-11-30,85.71
Fanna Fillah,Arslan Nizami,42.85548333333333,13,12,1,2025-07-14,2025-08-14,92.31
"Tenu Sang Rakhna (From ""Jigra"")",Achint,39.499,11,9,2,2025-04-07,2025-09-15,81.82
八方來財(Stacks from All Sides),攬佬SKAI ISYOURGOD,38.15711666666667,20,18,2,2025-07-16,2025-11-04,90.0
"Saiyaara (From ""Saiyaara"")",Tanishk Bagchi,37.699133333333336,12,10,2,2025-07-24,2025-10-02,83.33
That’s So True,Gracie Abrams,37.02045,15,10,5,2025-01-01,2025-11-04,66.67
Tere Pyar Main,Kaavish,36.685383333333334,12,11,1,2025-02-02,2025-10-27,91.67
Arz Kiya Hai | Coke Studio Bharat,Anuv Jain,34.99163333333333,10,8,2,2025-09-05,2025-11-20,80.0
Madno,Kshitij Tarey,33.522083333333335,8,5,3,2025-01-29,2025-11-04,62.5
Chup Chup,Jal,32.69925,13,9,4,2025-01-17,2025-09-04,69.23
Dooron Dooron - Unplugged,Paresh Pahuja,32.35823333333333,10,7,3,2025-05-26,2025-11-13,70.0
Isimo,Bleachers,31.698766666666668,16,12,4,2025-08-14,2025-11-30,75.0
Sanson Ki Mala Pe,Nusrat Fateh Ali Khan,31.597299999999997,3,2,1,2025-03-08,2025-04-06,66.67
OBVIOUS (feat. Hasan Raheem),Umair,30.3728,12,4,8,2025-04-20,2025-11-04,33.33
EYES CLOSED (with ZAYN),JISOO,30.24645,13,8,5,2025-10-10,2025-11-15,61.54
Sprinter,Dave,28.085683333333336,20,18,2,2025-06-24,2025-10-24,90.0
"Ride Or Die, Pt. 2 (with Villano Antillano & Tokischa)",Sevdaliza,27.89966666666667,13,4,9,2025-08-18,2025-10-27,30.77
Main Mast Hoon (Dhamal),Jal,25.869333333333334,6,5,1,2025-03-08,2025-07-10,83.33
my tears ricochet,Taylor Swift,25.381183333333333,8,5,3,2025-02-26,2025-10-24,62.5
Ranjheya Ve,Zain Zohaib,25.3801,12,9,3,2025-01-29,2025-10-16,75.0
Heer,A.R. Rahman,24.3206,6,6,0,2025-04-05,2025-04-13,100.0
Bi Saraha,Abeer Nehme,23.579883333333335,9,6,3,2025-03-21,2025-09-04,66.67
"Phir Na Milen Kabhi (From ""Malang - Unleash The Madness"")",Ankit Tiwari,22.527083333333334,9,7,2,2025-02-07,2025-11-19,77.78
Bakhuda Tumhi Ho,Atif Aslam,22.519466666666666,6,4,2,2025-10-04,2025-11-09,66.67
Bewajah,Himesh Reshammiya,21.20045,7,7,0,2025-02-13,2025-09-15,100.0
Abyss,HAVI,21.19311666666667,7,6,1,2025-02-26,2025-11-20,85.71
Tere Ishq Nachaya,Abdullah Qureshi,20.835933333333333,13,9,4,2025-01-01,2025-11-19,69.23
Tairay Naam,Kaavish,20.769983333333332,9,8,1,2025-01-05,2025-11-11,88.89
"Abhi Abhi (From ""Jism 2"")",KK,20.687283333333333,6,5,1,2025-01-12,2025-07-17,83.33
Tere Naina,Shankar Mahadevan,19.734266666666667,6,3,3,2025-04-13,2025-11-05,50.0
"I Love You, I'm Sorry",Gracie Abrams,19.678433333333334,11,7,4,2025-05-13,2025-11-30,63.64
Promises,Shamoon Ismail,19.5675,8,4,4,2025-01-29,2025-11-15,50.0
Dil Main Moray,Kaavish,19.4208,8,5,3,2025-09-08,2025-11-11,62.5
august,Taylor Swift,19.213583333333332,7,5,2,2025-05-13,2025-09-05,71.43
"Uyi Amma - From ""Azaad""",Amit Trivedi,18.979766666666666,9,9,0,2025-07-11,2025-09-15,100.0
Ve Kamleya,Pritam,18.577133333333332,6,3,3,2025-11-08,2025-11-15,50.0
Do I Wanna Know? - Live At the BBC,Hozier,18.465633333333333,10,6,4,2025-02-02,2025-11-04,60.0
Oh Sahib - Original Sountrack Of Abdullahpur Ka Devdas,Zain Zohaib,18.4312,8,7,1,2025-01-05,2025-09-10,87.5
Tere Liye,Abdullah Qureshi,18.331483333333335,11,6,5,2025-01-12,2025-11-11,54.55
"Merry Christmas, Please Don't Call",Bleachers,17.243366666666667,8,6,2,2025-08-14,2025-11-30,75.0
Tu Mera Nahi,Saad Sultan,17.217933333333335,7,7,0,2025-02-07,2025-11-07,100.0
